@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureOutOfBagError numeric

@data

ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,17,5,0,77.272727,22.727273,0,0.689266,0.066139,0.19524,36.065399,64.743225,47.079634,15.749428,31.330206,2.139983,0.715883,1.4241,32.222551,1.464661,1417.349846,0.888889,8,0,0,1,13,0.111111,1,1,0.888889,0.941176,0.908514,1,1,0.772727,0.047727,0.952273,0.227273,0.785714,0.772727,0.764514,0.719613,0.957147,0.828788,0.635415,0.772727,0,0,0,0,0,0,11939,23033,6293,100,26.704545,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,17,6,0,73.913043,26.086957,0,0.623978,0.06712,0.198182,36.477627,65.472994,52.177095,18.893574,33.28352,2.268569,0.82146,1.44711,35.07533,1.525014,1551.880546,1,10,0.153846,2,0.846154,11,0,0,0.833333,1,0.909091,0.839719,1,1,0.73913,0.098532,0.901468,0.26087,0.675362,0.73913,0.692358,0.64203,0.9843,0.960404,0.479293,0.73913,0,0,0,0,0,0,11939,22940,6386,95.652174,26.086957,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,17,6,0,73.913043,26.086957,0,0.633952,0.074341,0.231139,40.390962,76.336901,52.762057,39.202395,13.559662,2.294002,1.704452,0.589551,32.351756,1.406598,1432.86516,0.9,9,0.076923,1,0.923077,12,0.1,1,0.9,0.9,0.9,0.823077,0.930769,0.91877,0.73913,0.08272,0.91728,0.26087,0.680745,0.73913,0.692029,0.637203,0.895604,0.759015,0.497222,0.73913,0,0.001,0,0,0,0,11939,22940,6386,86.956522,21.195652,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,18,5,0,78.26087,21.73913,0,0.694149,0.054655,0.174381,29.695158,57.591958,52.762057,25.40788,27.354177,2.294002,1.10469,1.189312,37.234579,1.618895,1649.126294,0.9,9,0.076923,1,0.923077,12,0.1,1,0.9,0.9,0.9,0.823077,0.953846,0.926346,0.782609,0.076198,0.923802,0.217391,0.788043,0.782609,0.761427,0.715331,0.956218,0.912792,0.611538,0.782609,0,0,0,0,0,0,11939,22940,6386,91.304348,21.195652,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,201,23,18,5,0,78.26087,21.73913,0,0.695767,0.060586,0.181578,32.908385,59.949918,53.762057,18.247453,35.514605,2.337481,0.793368,1.544113,36.554974,1.589347,1621.620588,1,10,0.076923,1,0.923077,12,0,0,0.909091,1,0.952381,0.916057,1,1,0.782609,0.062706,0.937294,0.217391,0.766996,0.782609,0.758282,0.722345,0.981608,0.931522,0.589286,0.782609,0,0,0,0,0,0,11939,22940,6386,95.652174,20.652174,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,20,2,0,90.909091,9.090909,0,0.872093,0.040084,0.132601,22.191529,44.736573,44.982938,7.558557,37.42438,2.044679,0.343571,1.701108,37.992856,1.726948,1663.888953,1,10,0,0,1,12,0,0,1,1,1,1,1,1,0.909091,0.00671,0.99329,0.090909,0.94697,0.909091,0.91544,0.909071,0.990107,0.949134,0.84254,0.909091,0,0,0,0,0,0,11939,23033,6293,100,19.318182,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,20,2,0,90.909091,9.090909,0,0.876751,0.047061,0.155593,25.609356,51.476053,47.001005,10.133339,36.867666,2.136409,0.460606,1.675803,37.81779,1.71899,1663.188426,1,9,0,0,1,13,0,0,1,1,1,1,1,1,0.909091,0.009342,0.990658,0.090909,0.943182,0.909091,0.914141,0.906213,0.980112,0.901894,0.853968,0.909091,0,0,0,0,0,0,11939,23033,6293,100,19.886364,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,19,3,0,86.363636,13.636364,0,0.811429,0.051262,0.16564,27.895067,54.800079,47.001005,11.492417,35.508588,2.136409,0.522383,1.614027,36.043877,1.638358,1585.173515,1,9,0,0,1,13,0,0,1,1,1,1,1,1,0.863636,0.033915,0.966085,0.136364,0.856061,0.863636,0.856198,0.827982,0.969603,0.90368,0.825455,0.863636,0,0,0,0,0,0,11939,23033,6293,100,19.318182,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,18,4,0,81.818182,18.181818,0,0.751412,0.058046,0.190455,31.58692,63.009858,47.001005,14.860399,32.140606,2.136409,0.675473,1.460937,33.159826,1.507265,1458.33586,0.888889,8,0,0,1,13,0.111111,1,1,0.888889,0.941176,0.908514,1,1,0.818182,0.042271,0.957729,0.181818,0.755682,0.818182,0.771973,0.747902,0.954686,0.858712,0.675415,0.818182,0,0,0,0,0,0,11939,23033,6293,100,20.454545,?,?,?,?,?,?,?,?,?,?,?,?,?,?
ecoli-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170503.1745,202,22,19,3,0,86.363636,13.636364,0,0.813031,0.057685,0.179374,31.371676,59.304873,49.088196,17.501383,31.586813,2.231282,0.795517,1.435764,36.617257,1.664421,1617.269472,1,9,0.076923,1,0.923077,12,0,0,0.9,1,0.947368,0.911465,0.974359,0.962654,0.863636,0.038178,0.961822,0.136364,0.860606,0.863636,0.845136,0.822896,0.962914,0.893813,0.702339,0.863636,0,0,0,0,0,0,11939,23033,6293,95.454545,25,?,?,?,?,?,?,?,?,?,?,?,?,?,?
